"","species","genus","family","species.relative","genus.relative","family.in.genus.list","output.note"
"83","Acacia collinsii","Acacia","Fabaceae",NA,NA,NA,"insertion based on genus"
"84","Acacia concurrens","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"85","Acacia crassicarpa","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"86","Acacia cuthbertsonii","Acacia","Fabaceae",NA,NA,NA,"insertion based on genus"
"87","Acacia cyclops","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"88","Acacia dealbata","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"89","Acacia desmondii","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"90","Acacia diffusa","Acacia","Fabaceae",NA,NA,NA,"insertion based on genus"
"91","Acacia disparrima","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"92","Acacia estrophiolata","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"93","Acacia extensa","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"94","Acacia flavescens","Acacia","Fabaceae",NA,NA,NA,"insertion based on genus"
"95","Acacia fleckeri","Acacia","Fabaceae",NA,NA,NA,"insertion based on genus"
"96","Acacia floribunda","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"97","Acacia hakeoides","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"98","Acacia holosericea","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"99","Acacia homalophylla","Acacia","Fabaceae",NA,NA,NA,"insertion based on genus"
"100","Acacia implexa","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"101","Acacia irrorata","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"102","Acacia karina","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"103","Acacia kempeana","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"104","Acacia latisepala","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"105","Acacia latzii","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"106","Acacia leptocarpa","Acacia","Fabaceae",NA,NA,NA,"insertion based on genus"
"107","Acacia ligulata","Acacia","Fabaceae",NA,NA,NA,"insertion based on genus"
"108","Acacia linifolia","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"109","Acacia longifolia","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"110","Acacia maidenii","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"111","Acacia mangium","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"112","Acacia mearnsii","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"113","Acacia melanoxylon","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"114","Acacia midgleyi","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"115","Acacia minutifolia","Acacia","Fabaceae",NA,NA,NA,"insertion based on genus"
"116","Acacia myrtifolia","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"117","Acacia nilotica","Acacia","Fabaceae",NA,NA,NA,"insertion based on genus"
"118","Acacia oraria","Acacia","Fabaceae",NA,NA,NA,"insertion based on genus"
"119","Acacia oswaldii","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"120","Acacia oxycedrus","Acacia","Fabaceae",NA,NA,NA,"insertion based on genus"
"121","Acacia paradoxa","Acacia","Fabaceae",NA,NA,NA,"insertion based on genus"
"122","Acacia pennata","Acacia","Fabaceae",NA,NA,NA,"insertion based on genus"
"123","Acacia podalyriifolia","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"124","Acacia polystachya","Acacia","Fabaceae",NA,NA,NA,"insertion based on genus"
"125","Acacia prainii","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"126","Acacia prominens","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"127","Acacia pruinocarpa","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"128","Acacia pulchella","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"129","Acacia pycnantha","Acacia","Fabaceae",NA,NA,NA,"insertion based on genus"
"130","Acacia ramulosa","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"131","Acacia rubida","Acacia","Fabaceae",NA,NA,NA,"insertion based on genus"
"132","Acacia salicina","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"133","Acacia saligna","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"134","Acacia sophorae","Acacia","Fabaceae",NA,NA,NA,"insertion based on genus"
"135","Acacia spirorbis","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"136","Acacia spondylophylla","Acacia","Fabaceae",NA,NA,NA,"insertion based on genus"
"137","Acacia stenophylla","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"138","Acacia suaveolens","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"139","Acacia tenuissima","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"140","Acacia terminalis","Acacia","Fabaceae",NA,NA,NA,"insertion based on genus"
"141","Acacia tetragonophylla","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"142","Acacia ulicifolia","Acacia","Fabaceae",NA,NA,NA,"insertion based on genus"
"143","Acacia victoriae","Acacia","Fabaceae",NA,NA,NA,"present in megatree"
"144","Acaciella angustissima","Acaciella","Fabaceae",NA,NA,NA,"present in megatree"
"145","Acaena anserinifolia","Acaena","Rosaceae",NA,NA,NA,"present in megatree"
"146","Acaena buchananii","Acaena","Rosaceae",NA,NA,NA,"present in megatree"
"147","Acaena caesiiglauca","Acaena","Rosaceae",NA,NA,NA,"present in megatree"
"148","Acaena dumicola","Acaena","Rosaceae",NA,NA,NA,"insertion based on genus"
"149","Acaena emittens","Acaena","Rosaceae",NA,NA,NA,"insertion based on genus"
"150","Acaena fissistipula","Acaena","Rosaceae",NA,NA,NA,"present in megatree"
"151","Acaena glabra","Acaena","Rosaceae",NA,NA,NA,"insertion based on genus"
"152","Acaena inermis","Acaena","Rosaceae",NA,NA,NA,"present in megatree"
"153","Acaena juvenca","Acaena","Rosaceae",NA,NA,NA,"insertion based on genus"
"154","Acaena magellanica","Acaena","Rosaceae",NA,NA,NA,"present in megatree"
"155","Acaena microphylla","Acaena","Rosaceae",NA,NA,NA,"insertion based on genus"
"156","Acaena minor","Acaena","Rosaceae",NA,NA,NA,"insertion based on genus"
"157","Acaena novae-zelandiae","Acaena","Rosaceae",NA,NA,NA,"present in megatree"
"158","Acaena ovina","Acaena","Rosaceae",NA,NA,NA,"insertion based on genus"
"159","Acaena pallida","Acaena","Rosaceae",NA,NA,NA,"insertion based on genus"
"160","Acaena profundeincisa","Acaena","Rosaceae",NA,NA,NA,"insertion based on genus"
"161","Acaena rorida","Acaena","Rosaceae",NA,NA,NA,"insertion based on genus"
"162","Acaena saccaticupula","Acaena","Rosaceae",NA,NA,NA,"insertion based on genus"
"163","Acaena tesca","Acaena","Rosaceae",NA,NA,NA,"insertion based on genus"
"164","Acalypha diversifolia","Acalypha","Euphorbiaceae",NA,NA,NA,"insertion based on genus"
"165","Acalypha integrifolia","Acalypha","Euphorbiaceae",NA,NA,NA,"insertion based on genus"
"166","Acalypha macrostachya","Acalypha","Euphorbiaceae",NA,NA,NA,"present in megatree"
"167","Acalypha mapirensis","Acalypha","Euphorbiaceae",NA,NA,NA,"insertion based on genus"
"168","Acalypha nemorum","Acalypha","Euphorbiaceae",NA,NA,NA,"insertion based on genus"
"169","Acalypha repanda","Acalypha","Euphorbiaceae",NA,NA,NA,"insertion based on genus"
"170","Acalypha stenoloba","Acalypha","Euphorbiaceae",NA,NA,NA,"insertion based on genus"
"171","Acalypha stricta","Acalypha","Euphorbiaceae",NA,NA,NA,"insertion based on genus"
"172","Acalypha virginica","Acalypha","Euphorbiaceae",NA,NA,NA,"insertion based on genus"
"173","Acanthocereus hirschtianus","Acanthocereus","Cactaceae",NA,NA,NA,"present in megatree"
"174","Acanthocereus tetragonus","Acanthocereus","Cactaceae",NA,NA,NA,"present in megatree"
"175","Acantholippia seriphioides","Acantholippia","Verbenaceae",NA,NA,NA,"present in megatree"
"176","Acanthopanax spinosus","Acanthopanax","Araliaceae",NA,NA,NA,"insertion based on family"
"177","Acanthophoenix crinita","Acanthophoenix","Arecaceae",NA,NA,NA,"insertion based on genus"
"178","Acanthophoenix rubra","Acanthophoenix","Arecaceae",NA,NA,NA,"present in megatree"
"179","Acanthosicyos naudinianus","Acanthosicyos","Cucurbitaceae",NA,NA,NA,"insertion based on genus"
"180","Acanthosyris annonagustata","Acanthosyris","Santalaceae",NA,NA,NA,"insertion based on genus"
"181","Acanthus spinosus","Acanthus","Acanthaceae",NA,NA,NA,"present in megatree"
"182","Acer campestre","Acer","Sapindaceae",NA,NA,NA,"present in megatree"
"183","Acer cappadocicum","Acer","Sapindaceae",NA,NA,NA,"present in megatree"
"184","Acer circinatum","Acer","Sapindaceae",NA,NA,NA,"present in megatree"
"185","Acer floridanum","Acer","Sapindaceae",NA,NA,NA,"insertion based on genus"
"186","Acer glabrum","Acer","Sapindaceae",NA,NA,NA,"present in megatree"
"187","Acer granatense","Acer","Sapindaceae",NA,NA,NA,"insertion based on genus"
"188","Acer griseum","Acer","Sapindaceae",NA,NA,NA,"present in megatree"
"189","Acer laurinum","Acer","Sapindaceae",NA,NA,NA,"present in megatree"
"190","Acer leucoderme","Acer","Sapindaceae",NA,NA,NA,"insertion based on genus"
"191","Acer macrophyllum","Acer","Sapindaceae",NA,NA,NA,"present in megatree"
"192","Acer monspessulanum","Acer","Sapindaceae",NA,NA,NA,"present in megatree"
"193","Acer negundo","Acer","Sapindaceae",NA,NA,NA,"present in megatree"
"194","Acer nigrum","Acer","Sapindaceae",NA,NA,NA,"insertion based on genus"
"195","Acer opalus","Acer","Sapindaceae",NA,NA,NA,"present in megatree"
"196","Acer palmatum","Acer","Sapindaceae",NA,NA,NA,"present in megatree"
"197","Acer pensylvanicum","Acer","Sapindaceae",NA,NA,NA,"present in megatree"
"198","Acer pictum","Acer","Sapindaceae",NA,NA,NA,"present in megatree"
"199","Acer platanoides","Acer","Sapindaceae",NA,NA,NA,"insertion based on genus"
"200","Acer pseudoplatanus","Acer","Sapindaceae",NA,NA,NA,"present in megatree"
"201","Acer rubrum","Acer","Sapindaceae",NA,NA,NA,"present in megatree"
"202","Acer saccharinum","Acer","Sapindaceae",NA,NA,NA,"present in megatree"
"203","Acer saccharum","Acer","Sapindaceae",NA,NA,NA,"present in megatree"
"204","Acer spicatum","Acer","Sapindaceae",NA,NA,NA,"present in megatree"
"205","Acer tataricum","Acer","Sapindaceae",NA,NA,NA,"present in megatree"
"206","Aceratium concinnum","Aceratium","Elaeocarpaceae",NA,NA,NA,"present in megatree"
"207","Aceratium doggrellii","Aceratium","Elaeocarpaceae",NA,NA,NA,"insertion based on genus"
"208","Aceratium ferrugineum","Aceratium","Elaeocarpaceae",NA,NA,NA,"present in megatree"
"209","Aceratium ledermannii","Aceratium","Elaeocarpaceae",NA,NA,NA,"present in megatree"
"210","Aceratium megalospermum","Aceratium","Elaeocarpaceae",NA,NA,NA,"present in megatree"
"211","Aceratium muellerianum","Aceratium","Elaeocarpaceae",NA,NA,NA,"insertion based on genus"
"212","Aceratium pittosporoides","Aceratium","Elaeocarpaceae",NA,NA,NA,"insertion based on genus"
"213","Aceratium sericoleopsis","Aceratium","Elaeocarpaceae",NA,NA,NA,"present in megatree"
"214","Aceratium tomentosum","Aceratium","Elaeocarpaceae",NA,NA,NA,"insertion based on genus"
"215","Achatocarpus nigricans","Achatocarpus","Achatocarpaceae",NA,NA,NA,"insertion based on genus"
"216","Achatocarpus praecox","Achatocarpus","Achatocarpaceae",NA,NA,NA,"present in megatree"
"217","Achatocarpus pubescens","Achatocarpus","Achatocarpaceae",NA,NA,NA,"insertion based on genus"
"218","Achillea atrata","Achillea","Asteraceae",NA,NA,NA,"present in megatree"
"219","Achillea erba-rotta","Achillea","Asteraceae",NA,NA,NA,"present in megatree"
"220","Achillea filipendulina","Achillea","Asteraceae",NA,NA,NA,"present in megatree"
"221","Achillea maritima","Achillea","Asteraceae",NA,NA,NA,"insertion based on genus"
"222","Achillea millefolium","Achillea","Asteraceae",NA,NA,NA,"present in megatree"
"223","Achillea nana","Achillea","Asteraceae",NA,NA,NA,"present in megatree"
"224","Achillea nobilis","Achillea","Asteraceae",NA,NA,NA,"present in megatree"
"225","Achillea pannonica","Achillea","Asteraceae",NA,NA,NA,"present in megatree"
"226","Achillea ptarmica","Achillea","Asteraceae",NA,NA,NA,"present in megatree"
"227","Achnatherum calamagrostis","Achnatherum","Poaceae",NA,NA,NA,"present in megatree"
"228","Achnatherum occidentale","Achnatherum","Poaceae",NA,NA,NA,"insertion based on genus"
"229","Achnatherum parviflorum","Achnatherum","Poaceae",NA,NA,NA,"insertion based on genus"
"230","Achnatherum petriei","Achnatherum","Poaceae",NA,NA,NA,"insertion based on genus"
"231","Achyranthes aspera","Achyranthes","Amaranthaceae",NA,NA,NA,"insertion based on genus"
"232","Acianthera sonderiana","Acianthera","Orchidaceae",NA,NA,NA,"insertion based on genus"
"233","Acianthus sinclairii","Acianthus","Orchidaceae",NA,NA,NA,"insertion based on family"
"234","Acinos alpinus","Acinos","Lamiaceae",NA,NA,NA,"insertion based on family"
"235","Acioa dolichopoda","Acioa","Chrysobalanaceae",NA,NA,NA,"insertion based on genus"
"236","Acioa edulis","Acioa","Chrysobalanaceae",NA,NA,NA,"insertion based on genus"
"237","Acioa guianensis","Acioa","Chrysobalanaceae",NA,NA,NA,"present in megatree"
"238","Acioa longipendula","Acioa","Chrysobalanaceae",NA,NA,NA,"insertion based on genus"
"239","Acioa schultesii","Acioa","Chrysobalanaceae",NA,NA,NA,"insertion based on genus"
"240","Aciphylla anomala","Aciphylla","Apiaceae",NA,NA,NA,"insertion based on genus"
"241","Aciphylla aurea","Aciphylla","Apiaceae",NA,NA,NA,"present in megatree"
"242","Aciphylla cartilaginea","Aciphylla","Apiaceae",NA,NA,NA,"insertion based on genus"
"243","Aciphylla colensoi","Aciphylla","Apiaceae",NA,NA,NA,"present in megatree"
"244","Aciphylla congesta","Aciphylla","Apiaceae",NA,NA,NA,"present in megatree"
"245","Aciphylla crenulata","Aciphylla","Apiaceae",NA,NA,NA,"present in megatree"
"246","Aciphylla crosby-smithii","Aciphylla","Apiaceae",NA,NA,NA,"insertion based on genus"
"247","Aciphylla dieffenbachii","Aciphylla","Apiaceae",NA,NA,NA,"present in megatree"
"248","Aciphylla dissecta","Aciphylla","Apiaceae",NA,NA,NA,"present in megatree"
"249","Aciphylla divisa","Aciphylla","Apiaceae",NA,NA,NA,"insertion based on genus"
"250","Aciphylla dobsonii","Aciphylla","Apiaceae",NA,NA,NA,"present in megatree"
"251","Aciphylla ferox","Aciphylla","Apiaceae",NA,NA,NA,"insertion based on genus"
"252","Aciphylla glaucescens","Aciphylla","Apiaceae",NA,NA,NA,"insertion based on genus"
"253","Aciphylla hectori","Aciphylla","Apiaceae",NA,NA,NA,"present in megatree"
"254","Aciphylla hookeri","Aciphylla","Apiaceae",NA,NA,NA,"insertion based on genus"
"255","Aciphylla horrida","Aciphylla","Apiaceae",NA,NA,NA,"present in megatree"
"256","Aciphylla kirkii","Aciphylla","Apiaceae",NA,NA,NA,"present in megatree"
"257","Aciphylla lecomtei","Aciphylla","Apiaceae",NA,NA,NA,"insertion based on genus"
"258","Aciphylla leighii","Aciphylla","Apiaceae",NA,NA,NA,"insertion based on genus"
"259","Aciphylla lyallii","Aciphylla","Apiaceae",NA,NA,NA,"present in megatree"
"260","Aciphylla monroi","Aciphylla","Apiaceae",NA,NA,NA,"present in megatree"
"261","Aciphylla montana","Aciphylla","Apiaceae",NA,NA,NA,"present in megatree"
"262","Aciphylla multisecta","Aciphylla","Apiaceae",NA,NA,NA,"insertion based on genus"
"263","Aciphylla pinnatifida","Aciphylla","Apiaceae",NA,NA,NA,"present in megatree"
"264","Aciphylla polita","Aciphylla","Apiaceae",NA,NA,NA,"insertion based on genus"
"265","Aciphylla similis","Aciphylla","Apiaceae",NA,NA,NA,"present in megatree"
"266","Aciphylla simplex","Aciphylla","Apiaceae",NA,NA,NA,"present in megatree"
"267","Aciphylla spedenii","Aciphylla","Apiaceae",NA,NA,NA,"insertion based on genus"
"268","Aciphylla squarrosa","Aciphylla","Apiaceae",NA,NA,NA,"present in megatree"
"269","Aciphylla stannensis","Aciphylla","Apiaceae",NA,NA,NA,"insertion based on genus"
"270","Aciphylla subflabellata","Aciphylla","Apiaceae",NA,NA,NA,"present in megatree"
"271","Aciphylla traillii","Aciphylla","Apiaceae",NA,NA,NA,"present in megatree"
"272","Aciphylla traversii","Aciphylla","Apiaceae",NA,NA,NA,"present in megatree"
"273","Aciphylla trifoliolata","Aciphylla","Apiaceae",NA,NA,NA,"insertion based on genus"
"274","Ackama nubicola","Ackama","Cunoniaceae",NA,NA,NA,"insertion based on genus"
"275","Ackama rosifolia","Ackama","Cunoniaceae",NA,NA,NA,"present in megatree"
"276","Acmanthera latifolia","Acmanthera","Malpighiaceae",NA,NA,NA,"present in megatree"
"277","Acnistus arborescens","Acnistus","Solanaceae",NA,NA,NA,"present in megatree"
"278","Acokanthera oblongifolia","Acokanthera","Apocynaceae",NA,NA,NA,"present in megatree"
"279","Acokanthera oppositifolia","Acokanthera","Apocynaceae",NA,NA,NA,"present in megatree"
"280","Acokanthera rotundata","Acokanthera","Apocynaceae",NA,NA,NA,"insertion based on genus"
"281","Aconitum lycoctonum","Aconitum","Ranunculaceae",NA,NA,NA,"present in megatree"
"282","Aconitum variegatum","Aconitum","Ranunculaceae",NA,NA,NA,"present in megatree"
"283","Acorus calamus","Acorus","Acoraceae",NA,NA,NA,"present in megatree"
"284","Acorus gramineus","Acorus","Acoraceae",NA,NA,NA,"present in megatree"
"285","Acosmium cardenasii","Acosmium","Fabaceae",NA,NA,NA,"present in megatree"
"286","Acourtia fruticosa","Acourtia","Asteraceae",NA,NA,NA,"insertion based on genus"
"287","Acourtia microcephala","Acourtia","Asteraceae",NA,NA,NA,"insertion based on genus"
"288","Acridocarpus smeathmannii","Acridocarpus","Malpighiaceae",NA,NA,NA,"present in megatree"
"289","Acrocomia aculeata","Acrocomia","Arecaceae",NA,NA,NA,"present in megatree"
"290","Acrocomia intumescens","Acrocomia","Arecaceae",NA,NA,NA,"insertion based on genus"
"291","Acrodon subulatus","Acrodon","Aizoaceae",NA,NA,NA,"present in megatree"
"292","Acronychia aberrans","Acronychia","Rutaceae",NA,NA,NA,"insertion based on genus"
"293","Acronychia acidula","Acronychia","Rutaceae",NA,NA,NA,"insertion based on genus"
"294","Acronychia acronychioides","Acronychia","Rutaceae",NA,NA,NA,"insertion based on genus"
"295","Acronychia acuminata","Acronychia","Rutaceae",NA,NA,NA,"present in megatree"
"296","Acronychia chooreechillum","Acronychia","Rutaceae",NA,NA,NA,"insertion based on genus"
"297","Acronychia crassipetala","Acronychia","Rutaceae",NA,NA,NA,"insertion based on genus"
"298","Acronychia eungellensis","Acronychia","Rutaceae",NA,NA,NA,"insertion based on genus"
"299","Acronychia imperforata","Acronychia","Rutaceae",NA,NA,NA,"insertion based on genus"
"300","Acronychia laevis","Acronychia","Rutaceae",NA,NA,NA,"insertion based on genus"
"301","Acronychia parviflora","Acronychia","Rutaceae",NA,NA,NA,"present in megatree"
"302","Acronychia pauciflora","Acronychia","Rutaceae",NA,NA,NA,"insertion based on genus"
"303","Acronychia pedunculata","Acronychia","Rutaceae",NA,NA,NA,"present in megatree"
"304","Acronychia vestita","Acronychia","Rutaceae",NA,NA,NA,"present in megatree"
"305","Acrothamnus colensoi","Acrothamnus","Ericaceae",NA,NA,NA,"insertion based on genus"
"306","Acrothamnus spathaceus","Acrothamnus","Ericaceae",NA,NA,NA,"insertion based on genus"
"307","Acrotriche aggregata","Acrotriche","Ericaceae",NA,NA,NA,"insertion based on genus"
"308","Acrotriche baileyana","Acrotriche","Ericaceae",NA,NA,NA,"insertion based on genus"
"309","Acrotriche divaricata","Acrotriche","Ericaceae",NA,NA,NA,"present in megatree"
"310","Actaea arguta","Actaea","Ranunculaceae",NA,NA,NA,"insertion based on genus"
"311","Actaea asiatica","Actaea","Ranunculaceae",NA,NA,NA,"present in megatree"
"312","Actaea erythrocarpa","Actaea","Ranunculaceae",NA,NA,NA,"insertion based on genus"
"313","Actaea pachypoda","Actaea","Ranunculaceae",NA,NA,NA,"present in megatree"
"314","Actaea rubra","Actaea","Ranunculaceae",NA,NA,NA,"present in megatree"
"315","Actaea spicata","Actaea","Ranunculaceae",NA,NA,NA,"present in megatree"
"316","Actephila excelsa","Actephila","Phyllanthaceae",NA,NA,NA,"insertion based on genus"
"317","Actephila lindleyi","Actephila","Phyllanthaceae",NA,NA,NA,"present in megatree"
"318","Actinanthella menyharthii","Actinanthella","Loranthaceae",NA,NA,NA,"present in megatree"
